Date,Open,High,Low,Close,Volume
2021-08-10 04:00:00,3.862,5.5,3.862,4.459,2899593.6
2021-08-10 08:00:00,4.458,4.458,4.148,4.215,1061942.9
2021-08-10 12:00:00,4.215,4.337,4.05,4.109,676946.7
2021-08-10 16:00:00,4.108,4.239,4.0,4.193,405693.8
2021-08-10 20:00:00,4.194,4.339,4.18,4.201,219062.3
2021-08-11 00:00:00,4.2,4.245,4.123,4.175,163987.2
2021-08-11 04:00:00,4.182,4.368,4.163,4.229,371195.6
2021-08-11 08:00:00,4.238,4.684,4.21,4.373,931183.4
2021-08-11 12:00:00,4.375,4.571,4.32,4.321,231158.9
2021-08-11 16:00:00,4.322,4.49,4.271,4.408,183794.5
2021-08-11 20:00:00,4.409,4.436,4.18,4.199,174553.5
2021-08-12 00:00:00,4.193,4.588,4.172,4.52,560341.6
2021-08-12 04:00:00,4.51,4.8,4.25,4.519,1222083.1
2021-08-12 08:00:00,4.519,4.522,4.219,4.22,439042.0
2021-08-12 12:00:00,4.218,4.265,4.1,4.1,328893.9
2021-08-12 16:00:00,4.106,4.282,4.037,4.26,181995.8
2021-08-12 20:00:00,4.262,4.51,4.2,4.505,227241.3
2021-08-13 00:00:00,4.509,4.581,4.468,4.572,122918.3
2021-08-13 04:00:00,4.574,4.77,4.574,4.729,172552.0
2021-08-13 08:00:00,4.725,4.966,4.621,4.846,506523.4
2021-08-13 12:00:00,4.847,5.2,4.791,4.964,856729.3
2021-08-13 16:00:00,4.965,5.033,4.793,4.834,228454.4
2021-08-13 20:00:00,4.84,5.15,4.834,5.091,282451.6
2021-08-14 00:00:00,5.091,5.339,4.983,5.022,295464.5
2021-08-14 04:00:00,5.022,5.3,4.99,5.177,243749.7
2021-08-14 08:00:00,5.184,5.249,4.796,4.904,341532.7
2021-08-14 12:00:00,4.907,5.012,4.801,4.978,329342.9
2021-08-14 16:00:00,4.973,5.0,4.898,4.992,148835.2
2021-08-14 20:00:00,4.986,5.045,4.926,4.974,80538.0
2021-08-15 00:00:00,4.986,5.017,4.94,4.94,116943.6
2021-08-15 04:00:00,4.942,4.949,4.671,4.736,214021.1
2021-08-15 08:00:00,4.734,4.94,4.653,4.883,202338.7
2021-08-15 12:00:00,4.886,5.1,4.88,5.022,185568.4
2021-08-15 16:00:00,5.028,5.7,5.014,5.372,1003765.2
2021-08-15 20:00:00,5.379,5.88,5.35,5.816,700199.2
2021-08-16 00:00:00,5.817,6.387,5.8,6.055,966790.7
2021-08-16 04:00:00,6.055,6.641,5.997,6.355,1644746.8
2021-08-16 08:00:00,6.363,6.972,6.305,6.52,1650355.3
2021-08-16 12:00:00,6.519,6.648,5.925,6.429,1287307.4
2021-08-16 16:00:00,6.414,6.815,6.231,6.378,601795.3
2021-08-16 20:00:00,6.377,6.663,6.093,6.25,409066.8
2021-08-17 00:00:00,6.263,7.4,5.954,7.04,1203724.0
2021-08-17 04:00:00,7.039,7.399,6.731,7.201,947443.8
2021-08-17 08:00:00,7.201,8.9,7.1,7.177,3414858.4
2021-08-17 12:00:00,7.177,8.08,7.174,7.627,2374960.4
2021-08-17 16:00:00,7.629,7.68,7.005,7.032,866557.3
2021-08-17 20:00:00,7.032,7.12,6.452,6.883,1015787.6
2021-08-18 00:00:00,6.885,7.569,6.311,7.344,1042398.8
2021-08-18 04:00:00,7.344,7.698,7.031,7.14,801890.9
2021-08-18 08:00:00,7.137,7.696,7.095,7.297,1166976.6
2021-08-18 12:00:00,7.296,8.38,7.154,7.938,3873205.8
2021-08-18 16:00:00,7.942,8.2,7.45,7.456,1164669.2
2021-08-18 20:00:00,7.462,8.189,7.132,7.627,1087190.4
2021-08-19 00:00:00,7.627,7.85,7.31,7.395,1049014.7
2021-08-19 04:00:00,7.392,7.951,7.321,7.653,625322.3
2021-08-19 08:00:00,7.653,7.788,7.154,7.154,776406.1
2021-08-19 12:00:00,7.154,7.6,7.129,7.53,747490.3
2021-08-19 16:00:00,7.53,7.625,7.218,7.324,475221.9
2021-08-19 20:00:00,7.324,7.55,7.21,7.47,408073.2
2021-08-20 00:00:00,7.47,8.111,7.411,7.651,838531.7
2021-08-20 04:00:00,7.65,7.954,7.58,7.73,483070.6
2021-08-20 08:00:00,7.717,8.075,7.693,7.838,474146.2
2021-08-20 12:00:00,7.837,8.25,7.832,8.031,684884.7
2021-08-20 16:00:00,8.023,8.087,7.608,7.8,353498.3
2021-08-20 20:00:00,7.8,8.25,7.796,8.237,344998.4
2021-08-21 00:00:00,8.237,8.244,7.829,7.96,447116.4
2021-08-21 04:00:00,7.961,7.983,7.752,7.968,240079.2
2021-08-21 08:00:00,7.965,8.004,7.2,7.573,669449.4
2021-08-21 12:00:00,7.572,7.762,7.504,7.598,395438.4
2021-08-21 16:00:00,7.597,7.729,7.301,7.346,308676.6
2021-08-21 20:00:00,7.35,7.516,7.33,7.382,212287.4
2021-08-22 00:00:00,7.391,7.532,7.305,7.413,226197.1
2021-08-22 04:00:00,7.411,7.587,7.376,7.522,220770.8
2021-08-22 08:00:00,7.522,7.9,7.471,7.766,305211.9
2021-08-22 12:00:00,7.766,7.782,7.25,7.399,424118.0
2021-08-22 16:00:00,7.398,7.453,7.026,7.245,432424.8
2021-08-22 20:00:00,7.25,7.317,6.932,7.159,437811.4
2021-08-23 00:00:00,7.162,7.767,7.139,7.506,418341.8
